,Explained Variance
PC1,0.37456271116123063
PC2,0.20934815750448596
PC3,0.10834000275039843
PC4,0.07147033881365364
PC5,0.04918022648998108
PC6,0.032979639002580365
PC7,0.029268055159597055
PC8,0.02631023206029406
PC9,0.023338077440337637
PC10,0.01686133475323985
PC11,0.011794395680642838
