,Explained Variance
PC1,0.3871035476438936
PC2,0.16957979926774905
PC3,0.08792974351821894
PC4,0.07081916132396263
PC5,0.037220916089234946
PC6,0.03300911679215612
PC7,0.02667654078394558
PC8,0.023201655953798552
PC9,0.020293359002861427
PC10,0.01906224741816927
PC11,0.018286847558243332
PC12,0.014099656367323722
PC13,0.012513110109304367
PC14,0.010625424700943941
PC15,0.009619315159386887
PC16,0.008410668979950504
PC17,0.0069384657164248305
