Num Aliphatic Carbocycles,Num Heteroatoms,Num Hydrogen Bond Acceptor,Num Aromatic Carbocycles,LogP,Num Rotatable Bonds,Num Aromatic Heterocycles,Num Lipinski HB Donor,Num Atoms,Num Lipinski HB Acceptor,Num Rings,Num Hydrogen bond Donor,Num Aliphatic Rings,Num Aliphatic Heterocycles,Num Heterocycles,Mol Wt,Labute ASA,Num Aromatic Rings,Topological Polar SA
0,13,10,1,-0.226,7,1,3,31,11,4,3,2,2,3,462.078,184.414,2,150.54
0,8,5,2,2.484,5,0,2,29,7,4,2,2,2,2,414.125,171.941,2,95.94
0,9,7,0,-1.895,4,1,1,24,8,4,1,3,3,4,350.105,142.3,1,102.37
0,19,14,0,-1.397,9,1,5,36,15,4,4,3,3,4,575.002,218.509,1,219.93
0,17,13,0,0.999,10,2,5,37,13,4,4,2,2,4,584.028,225.71,2,197.4
0,9,6,1,0.707,5,0,5,27,8,3,4,2,2,2,389.105,159.266,1,132.96
0,12,7,0,-1.603,7,0,6,27,10,3,5,3,3,3,420.114,161.272,0,162.06
0,6,4,0,-1.961,4,0,5,13,6,1,4,1,1,1,188.08,74.724,0,112.65
0,9,5,1,0.621,4,0,4,24,7,3,3,2,2,2,367.039,146.369,1,112.73
0,11,6,1,2.688,4,1,2,30,8,4,2,2,2,3,453.056,179.272,2,112.74
0,8,5,1,1.06,5,0,2,25,7,3,2,2,2,2,361.11,149.041,1,99.07
0,19,13,1,-1.112,9,1,4,44,17,5,4,3,3,4,645.142,257.517,2,220.26
0,17,12,1,-0.917,9,1,4,35,14,4,4,2,2,3,542.035,206.043,2,204.91
0,9,6,0,-0.308,5,0,3,26,8,3,3,3,3,3,383.151,156.137,0,110.18
0,9,6,1,0.024,4,0,5,25,8,3,4,2,2,2,365.105,147.915,1,132.96
0,11,9,1,1.296,7,0,3,32,10,3,2,2,2,2,465.157,189.653,1,137.26
0,9,7,0,2.412,5,0,0,30,8,3,0,3,3,3,439.214,182.27,0,88.51
0,15,12,0,-0.944,7,2,2,28,12,4,2,2,2,4,440.014,169.303,2,156.09
0,17,13,0,-1.84,11,1,5,33,14,3,4,2,2,3,519.066,199.555,1,202.86
1,9,6,0,-0.067,5,0,4,25,8,3,3,3,2,2,365.105,148.292,0,121.96
0,13,9,0,-0.536,7,1,4,29,12,3,3,2,2,3,424.069,167.193,1,173.76
1,13,10,0,-1.044,7,2,3,35,11,5,2,3,2,4,514.109,208.195,2,153.92
0,16,13,0,-1.19,7,2,4,32,14,4,3,2,2,4,479.079,188.024,2,190.81
0,15,12,0,-0.636,7,2,2,29,12,4,2,2,2,4,454.03,175.668,2,156.09
0,15,8,1,-0.234,6,0,3,36,13,4,3,3,3,3,539.114,210.753,1,173.5
0,16,12,1,-1.128,9,1,4,36,15,4,4,2,2,3,520.101,206.204,2,206.3
0,11,10,0,1.666,6,0,1,33,9,4,1,4,4,4,497.165,201.857,0,108.74
0,8,5,1,1.411,3,0,2,27,7,4,2,3,3,3,389.141,161.63,1,89.95
0,7,5,0,0.374,3,0,2,19,6,3,2,3,3,3,285.067,113.955,0,87.07
0,4,3,2,3.159,2,0,0,20,4,3,0,1,1,1,267.09,116.139,2,46.61
0,14,11,0,1.293,7,2,4,33,11,4,3,2,2,4,506.05,199.576,2,160.1
0,10,8,2,1.646,5,0,3,34,9,5,2,3,3,3,481.131,199.496,2,128.03
