Num Aliphatic Carbocycles,Num Heteroatoms,Num Hydrogen Bond Acceptor,Num Aromatic Carbocycles,LogP,Num Rotatable Bonds,Num Aromatic Heterocycles,Num Lipinski HB Donor,Num Atoms,Num Lipinski HB Acceptor,Num Rings,Num Hydrogen bond Donor,Num Aliphatic Rings,Num Aliphatic Heterocycles,Num Heterocycles,Mol Wt,Labute ASA,Num Aromatic Rings,Topological Polar SA,SMILES
0,21,14,0,-0.115,11,3,4,43,16,5,4,2,2,5,684.01,259.189,3,223.24,CCO/N=C(/c1nsc(n1)NP(=O)(O)O)\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)[O-])Sc1scc(n1)c1cc[n+](cc1)C
0,12,9,0,-0.556,5,1,4,25,10,3,3,2,2,3,383.036,149.254,1,147.21,CO/N=C(/c1csc(n1)N)\C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(=O)O
0,15,10,0,-1.172,7,1,5,28,13,2,4,1,1,2,435.052,162.59,1,201.58,C[C@H]1[C@H](NC(=O)/C(=N\OC(C(=O)O)(C)C)/c2csc(n2)N)C(=O)N1S(=O)(=O)O
0,12,9,0,-0.172,5,1,5,26,10,3,4,2,2,3,395.036,154.61,1,158.21,O/N=C(/c1csc(n1)N)\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)C=C
0,14,11,0,-0.622,7,1,4,30,12,3,3,2,2,3,455.057,177.624,1,173.51,CO/N=C(/c1csc(n1)N)\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)COC(=O)C
0,18,12,0,-2.876,9,1,7,30,16,2,5,1,1,2,466.021,170.84,1,253.9,NC(=O)OC[C@@H]1[C@H](NC(=O)/C(=N\OCC(=O)O)/c2csc(n2)N)C(=O)N1S(=O)(=O)O
0,10,6,0,0.548,5,1,3,25,8,3,3,2,2,3,384.045,150.742,1,124.01,O=C([C@@H](c1cscc1)C(=O)O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
0,12,9,0,-0.166,5,1,4,26,10,3,3,2,2,3,397.051,155.619,1,147.21,CO/N=C(/c1csc(n1)N)\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C
0,7,4,1,0.861,4,0,2,23,6,3,2,2,2,2,334.099,137.781,1,86.71,O=C(Cc1ccccc1)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
1,8,5,0,0.222,4,0,4,24,7,3,3,3,2,2,351.125,143.868,0,112.73,N[C@H](C1=CCC=CC1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
0,10,5,1,1.67,5,0,2,26,9,3,2,2,2,2,375.1,152.914,1,135.47,O=C([C@@H](c1ccccc1)N=[N+]=[N-])N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
0,18,15,0,-1.199,8,2,5,36,15,4,4,2,2,4,554.046,213.957,2,215.22,CO/N=C(/c1csc(n1)N)\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nc(=O)c(nn1C)O
0,17,13,1,0.327,9,2,5,42,15,5,5,2,2,4,612.121,245.926,3,212.76,Oc1ccc(cc1)[C@H](C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1C)NC(=O)c1cnc(cc1O)C
0,13,9,1,0.041,7,1,6,31,11,4,5,2,2,3,462.078,183.991,2,174.53,O=C([C@@H](c1ccc(cc1)O)N)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1c[nH]nn1
0,9,6,0,-0.318,6,2,1,28,7,4,1,2,2,4,415.066,169.218,2,93.42,O=C(N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)[O-])C[n+]1ccccc1)Cc1cccs1
0,21,16,0,-0.538,8,2,5,47,19,6,4,4,4,6,690.116,271.383,2,264.3,O/N=C(\c1nsc(n1)N)/C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)/C=C/1\CCN(C1=O)[C@@H]1CCN(C1)C(=O)OCc1oc(=O)oc1C
0,9,5,1,0.486,5,0,3,26,8,3,3,2,2,2,378.089,153.101,1,124.01,O=C(C(c1ccccc1)C(=O)O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
0,8,5,1,1.086,5,0,2,25,7,3,2,2,2,2,364.109,149.259,1,95.94,CC(C(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C)Oc1ccccc1
0,17,12,0,-1.291,11,1,3,32,13,3,3,2,2,3,496.065,187.01,1,169.0,OCCn1nnnc1SCC1=C(C(=O)O)N2[C@H](OC1)[C@](C2=O)(OC)NC(=O)CSC(F)F
0,7,4,0,1.406,3,0,1,22,6,3,1,3,3,3,325.146,134.486,0,73.21,OC(=O)[C@@H]1N2C(=O)[C@H]([C@H]2SC1(C)C)/N=C/N1CCCCCC1
0,12,8,0,-0.048,6,1,5,27,10,3,4,2,2,3,410.035,160.287,1,162.92,OC(=O)C/C=C(\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC=C2C(=O)O)/c1csc(n1)N
0,11,7,1,0.941,7,0,5,33,10,4,5,3,3,3,475.141,193.575,1,156.27,O=C([C@H]1NC[C@H](C1)SC1=C(C(=O)O)N2[C@H]([C@H]1C)[C@H](C2=O)[C@H](O)C)Nc1cccc(c1)C(=O)O
0,11,6,1,0.247,5,0,3,27,9,3,3,2,2,2,414.056,159.409,1,141.08,O=C(C(S(=O)(=O)O)c1ccccc1)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
0,20,14,0,-2.835,10,1,4,42,18,4,4,3,3,4,627.153,246.668,1,229.49,CCN1CCN(C(=O)C1=O)C(=O)N[C@@H](C(=O)N[C@]1(OC)C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1C)[C@@H](O)C
0,14,8,1,-0.902,8,1,4,36,12,4,3,2,2,3,532.072,209.073,2,190.88,O=C([C@H](S(=O)(=O)[O-])c1ccccc1)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)C[n+]1ccc(cc1)C(=O)N
