,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59
MDCK,-0.07915644092804583,-0.0015087305278835353,0.008038495610820508,0.050025979068373236,-0.06572699397553772,0.02937815298892027,0.007418502367487888,-0.09876721641645587,-0.16053128768011782,0.07598134005047757,-0.06279325719373963,0.17124404459725542,-0.16768915245876254,-0.06388770032431673,-0.06472958733279034,0.2628433230506079,-0.11361320197878236,-0.08049715841188641,0.3232252344529419,-0.28787601275370495,-0.05347625228035603,-0.0740423856324548,0.08102605513247696,0.12277454547900016,0.46522285353831516,0.31450109044200547,-0.08534782756193285,-0.07219891131569244,0.05795329614806474,-0.2340955353117743,-0.025573354725569424,0.04980622542275271,-0.16298273039761088,-0.00792639336130313,0.11446125214397948,-0.1150195524687281,-0.022370651428001445,-0.0012819578780209062,-0.03301053521748848,0.18694777584745498,0.009906995201230326,-0.029418328795020363,0.02106816218006269,0.08808615204938564,-0.04285662692221435,-0.1026912856470426,0.0302913104204873,-0.017692153289563375,-0.014440878820634315,0.06840381655138682,-0.0038215234224451763,0.10839176722773514,0.040551681684256255,0.03856141792940297,0.0769569787208796,0.09903683311241829,-0.018838516354373013,0.04470204906513052,-0.01721177586608529
BBB,0.037532990740633175,-0.13175373778514995,0.16176708063467893,-0.005657176763847203,0.1076410494969358,-0.003239629015303558,0.1013977457461831,-0.14121900417218272,0.02410827142384292,-0.02116880067042154,-0.1398513168743682,-0.04223548015125714,0.10110227831800495,-0.014172400185064243,-0.024390084703125536,-0.004443587698588186,0.07919153939039841,-0.08595561158549528,0.017301714990336798,0.13191273581762708,-0.18654064559272848,0.05925792627192889,-0.07605081598387695,0.1979338475024656,0.21772103787032918,-0.1680465418352937,0.023441558488029715,-0.24264628114082423,-0.04886887857651362,0.05588432821023164,0.0834739667011146,-0.09136218995236962,-0.021579190631618436,0.13501846100008175,-0.07469059871476838,0.05884333826142393,0.279656271973097,-0.1473742017179649,0.0611645972108365,-0.16209299096616434,-0.13688429635524388,0.01803258127380178,0.07777239846472953,-0.09000272656436949,-0.2783785346843051,-0.20275104209773478,-0.17603654540780359,0.3189840871136923,0.035452980751456795,0.06332799556178857,0.13453332886819075,-0.011798019585335495,0.03902532619390877,-0.009432677318785457,0.20813875553792247,-0.06649328030226502,-0.16486945248077614,-0.04805826086900182,-0.007923235002813958
PPB,0.19498831086552493,-0.01611834153860256,-0.11394433817076233,-0.02299682009348571,-0.04475892561048487,-0.12240582853249449,0.023289522429949527,0.09833394926391914,0.10491521468620793,0.0012367455276981881,0.07903797283779121,0.08654933529309056,0.04158429032982172,0.011397937378940876,0.09869822088832231,0.09587087090877938,-0.06666314993216428,0.09095362676503202,-0.01082895566993803,-0.07961976958337917,-0.16119176371961708,-0.04141691800306208,-0.032670316161844876,0.08597360935540072,-0.016048377640420698,-0.03535692693932133,0.004919897799775509,0.023326922495360503,-0.05938443421489176,0.0009482173044569886,-0.03899849293232972,-0.02233788108969545,-0.013121298506162282,-0.16226316747467268,0.13881865650427133,-0.22427371019850123,0.08389200308858122,0.03890258943795184,0.030783129408025887,0.062312795199125554,-0.15032439108490042,-0.051007155110566985,-0.19242265634263478,-0.08186365764857567,-0.06379756399756209,0.0932195951012559,-0.005625491308031458,0.15070299905861373,-0.09991593938467012,-0.022594674720525718,-0.05128858164777302,-0.03161051659763286,-0.08454021639851507,-0.1393431043028513,-0.08501794474856932,-0.00063569240428267,-0.026621060059370004,0.06785244898792588,0.055428740520782886
VDss,0.08878819278778262,-0.10781134691175664,0.12167558422661093,-0.14916714027475644,-0.03513343351332846,0.1781757162598488,0.09366653724234097,-0.07316327480189624,-0.091231859253711,-0.04384019449455129,0.002353490424045479,-0.07925576751871863,-0.01935984473944785,0.031730190567696354,-0.024430111580663428,-0.018734670536518137,-0.10323336898979307,-0.011628973878118246,0.058725925938633614,0.1960046233938014,-0.080351083540321,-0.124065314037453,0.11408659268488569,-0.12422319098591311,-0.0395760569712082,0.07517779303756005,0.12266331028852637,-0.08304201554191074,0.04753179980358494,-0.08476798150913295,0.018085005767264396,-0.15423762611943082,-0.030664670220570928,0.006712959871177954,0.008050907521165187,0.16668343134007907,0.20757176902451846,-0.10094007844279365,0.29021717528414037,0.10761499730046839,-0.10653990563851676,-0.226039921749299,-0.011256634998253745,0.097653883121572,0.1459488156342511,0.19799327977241724,-0.10080318311474631,0.045166631010614355,-0.009306123197141834,0.17918359097667833,-0.10934345440973416,-0.09319703847484861,0.19292758438213806,0.11590631162625473,-0.20277630786625672,0.07279931715509944,0.19486873114710268,0.05996496447144192,0.10087556915969156
Fu,-0.19649050106308785,0.0031127552571748366,0.09946210157486189,0.010765975029882642,0.04855608782920512,0.13900694384696768,-0.000373571203484635,-0.07482693420275859,-0.10600552076932912,0.014866217477895904,-0.05682856820416299,-0.0699352473845087,-0.048071362937341044,-0.011802796693867107,-0.08804015547454254,-0.0941690006825669,0.10300788374651959,-0.1011731648341376,0.025027893042458275,0.05506456072943483,0.19262019184769436,0.058708586487239124,0.024543503502846495,-0.10763717587919647,-0.005667938184954056,0.03043597269157323,0.003988024834107068,-0.047322971693260885,0.058137800566622266,-0.028019234437048804,0.03544163261060357,0.04543171081293168,-0.0004501522194804153,0.18057036401512555,-0.1187282554521989,0.21011550814658103,-0.07623343293051583,-0.020467465056022857,-0.003604461689705206,-0.070772087591326,0.15934620969943558,0.02560873942740026,0.19999288982421637,0.07473373686307322,0.062048693345628375,-0.09089822790429189,0.011350929504757856,-0.16727462461999637,0.05397156654430174,0.04319077401934629,0.08717930514784303,0.04266085526988765,0.08917543682865102,0.10291668477348592,0.053341138116011835,0.003677059063290026,0.0402948073554361,-0.02015618845027879,-0.06154032749373656
CYP1A2-inh,0.11582831261624973,-0.1107038069626172,-0.16304289817973588,0.021384583974755365,-0.029937622935379205,0.07462713632303516,-0.07203761563564191,-0.09392716481434057,0.05229843716991245,0.08474230678008636,-0.15185128777582213,-0.06069982755784263,0.16335976962123844,0.036434423717422004,-0.17530169060755807,0.1302349444597632,-0.010284952800450907,0.17684291158296042,-0.044164395408956475,0.039796393007263134,0.004183563253830125,0.02715773790521097,0.17676881795976984,0.012069747578173251,0.046698868841886634,0.013058645549162758,0.09591967501468548,0.10030571795437478,-0.05123634765648016,0.13244370838791641,-0.03180150660930665,-0.12477667051970362,0.015730420484173058,0.04993708740945667,0.1637998596544039,-0.07454936444011503,-0.000436132086736013,-0.07258948173573904,-0.14524438121750283,-0.005098162750985366,0.15082815071200967,-0.018964632436816575,-0.0659874402077335,0.03330112974493264,0.07132604145681654,0.025212813602489503,0.2191150320107605,0.11711219911820833,0.12266367084269658,0.04719425202008369,-0.020664896421329317,-0.041351900365145376,0.055037728766201735,0.11487421609482308,0.10067399970331711,-0.09667917752170117,-0.0965118021898917,0.22873812838949023,-0.15040666903907546
CYP1A2-sub,0.10860862501590113,-0.10195445435157029,-0.0010915712264960898,-0.025532969900205548,0.06712454058002337,0.07599367789496737,0.10040637315268551,-0.16850565858413608,0.05898733112934307,0.05538186744347001,0.08635108519511575,-0.16419568130079512,0.17619864676334263,-0.22146730298881906,-0.09104779802703378,0.09942353784775448,0.10113977245740477,0.08240029906504559,-0.13143318163629963,-0.03965563854686551,0.028767389622284895,-0.062292362864187226,-0.0923606932658146,0.16204053564247006,0.14260211236484538,-0.07312045909887308,-0.16922082120727344,-0.0032365141503711455,0.013945469862725407,0.04415502963501839,0.13047501549889415,0.09138228825788809,0.3800033394320429,0.010995546923987062,0.05804389765060086,-0.15475342047635182,-0.054303339059866326,-0.004353077549762413,0.0032989085711448915,-0.019130176140022707,0.16763289505818169,0.20392321499747174,-0.08184662084498134,0.1430635148230449,0.1316062100053723,0.11867278375935493,-0.21757260461687178,-0.18209036139886253,-0.04752091976773333,0.13809978389630304,-0.08326591706460429,0.0959476733204363,-0.04122491513269058,0.05812427175078698,0.046913525054873687,0.2585798847797853,0.04610431432371315,-0.02691924553245477,0.1786155514587293
CYP2C19-inh,0.14664072648356877,-0.05572081136371377,-0.16372524685505502,0.04341479916632871,-0.07067976039375581,-0.05798552327770013,-0.0825117884739211,-0.08227873322421286,0.01335031971554601,0.10840565385420653,-0.13231216766312934,0.12388738324830512,0.1165984453688109,0.09448141336840499,-0.3212640722527965,0.09878090078232218,0.018566300565227678,-0.07119708815488093,0.01684228926878251,0.07781022623122186,0.08057171216831013,-0.006543646970616483,0.1134700147192746,-0.08853740754443386,-0.005737961400424402,0.005797958807085172,-0.10580310346887353,-0.06070593234159144,-0.06435868679780332,0.19379335844849271,-0.000189415121639544,0.054627120533488296,-0.03508055975657716,0.059162157865463985,-0.020714435741542685,0.024486978054567333,-0.014866421571722832,-0.03870546053587684,0.026800247642809787,-0.04941625034086572,-0.02167999756062619,0.04586854378602569,-0.013977463170109408,-0.06033893431414648,0.031397162351971784,-0.0262867959193337,-0.06466254981460003,-0.0189219122848079,0.007736677111241978,0.03464550564839962,0.02715643555462561,-0.09294639064180063,-0.030117602509860012,0.09039415465577702,-0.012062112397892719,0.14866136956641718,-0.008969352428553352,0.0565122128505547,0.06954113376974044
CYP2C19-sub,0.10948692323428136,-0.1014465839171612,0.18258630255114358,-0.06299986136273968,0.04693791062988989,-0.06534312854417954,0.1724596895454385,0.02575985978230208,0.01332970973375297,0.00583062141743057,0.07191248064808908,0.04050953864945353,0.20934732591449373,-0.2162330140031427,-0.06537664076474224,-0.10881162407559578,-0.016789088129927764,-0.16202667312484853,0.022403341826740156,0.024434736258422546,0.007980309500171243,-0.013522540623439109,-0.051090530250832655,0.14453324661772074,0.027037153651864834,0.0946943109945301,0.0015151205854500582,-0.0630527941479554,0.038815870352919245,0.00317641557958857,-0.15349381248028113,-0.09350699773619756,0.0006862871696993733,-0.007938292495567198,-0.08540058436940473,0.008837416256915087,-0.06416497896268353,0.0021448274585680327,-0.06482727383377243,0.1302591649001461,-0.0505338693447651,0.025307345927108715,-0.05086073242430117,0.06378013581708465,0.18371376987618993,-0.11938160877081463,0.035142641960921386,0.08473561608710022,0.15924461901652473,-0.15394941668120482,-0.16126537393661597,-0.034072677480512605,0.026423735784043216,-0.050733166751816355,-0.03004238754223465,-0.09089880909142616,0.03568287600990471,-2.1542849479925033e-05,0.08080528905136154
CYP2C9-inh,0.12701168440507588,0.003963141953702892,-0.2162189602383242,0.08184448204481401,-0.0659259423919703,-0.14753122854364584,-0.07917814846975343,0.03341933345345574,-0.005448805429789871,0.1039510157164743,-0.048455849467418655,0.10403788923912691,0.08290045951862723,0.13824862683931713,-0.19571769182409682,0.12537722430275328,-0.01735755262476555,-0.1380094236873604,0.019173757860837908,0.016750325990718663,0.11892814874102935,-0.0810950736431256,0.0183364436603925,-0.09437373094330387,-0.06769276872641952,0.026178956797978607,0.03884188321358552,-0.07332837220015855,0.014845863483858107,0.16117033135200703,-0.07898920675580659,0.026662543433575547,-0.15888828952035491,0.02508331388263099,-0.08747876249544682,0.034499806091947374,0.07907992047537818,0.002813199925437909,0.0519805048260848,0.014651676497604592,-0.01623756120129452,0.021935303150429866,0.022055557129858044,-0.04983481800435323,0.01071860101254534,-0.0011480360756832915,-0.1396521261866137,-0.1281218566942511,-0.0729500794761126,-0.005531963311169952,-0.050935476258705245,-0.14628343424297843,-0.08523147284081553,0.045059184669425933,-0.006896430925443365,0.018301403749055395,-0.09023307281945685,0.07150507573103393,0.140634485472074
