MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond do0rs,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
414.47,29,10,0.38,6,5,2,114.08,121.24,2.39,2.87,2.1,2.25,2.15,2.35,-4.08,0.0347,8.37E-05,2,-5.08,0.00348,8.41E-06,2,-4.68,0.00872,2.10E-05,2,1,0,1,0,1,1,1,1,-6.79,0,0,0,0,0,0.56,0,0,1,4.29
350.39,24,5,0.6,4,5,1,88.73,127.67,-4.67,0.79,-2.28,0.97,-1.46,-1.33,-2.4,1.39,0.00398,3,-3.05,0.311,0.000887,3,0.33,747,2.13,3,0,0,1,0,0,0,0,0,-7.88,0,1,0,0,0,0.55,0,1,1,4.92
575.62,36,5,0.41,10,11,4,131.17,321.13,1.17,0.09,-1.78,-0.62,-2.2,-0.67,-2.91,0.711,0.00124,3,-6.39,0.000235,4.09E-07,1,-0.06,501,0.871,3,0,0,1,0,0,0,0,0,-9.75,2,3,1,1,2,0.11,0,4,2,5.42
584.67,37,10,0.35,11,10,4,142.42,304.48,2,0.22,0.63,-0.72,2.42,0.91,-3.08,0.489,0.000836,3,-6.17,0.000392,6.71E-07,1,-2.85,0.826,0.00141,3,0,0,1,0,0,0,0,0,-9.71,2,2,2,1,1,0.11,0,2,2,5.27
389.43,27,6,0.28,6,6,4,103.21,158.26,1.71,-1.42,0,0.55,0.28,0.23,-1.13,29,0.0744,4,-1.4,15.5,0.0397,4,-1.8,6.17,0.0158,3,0,0,0,0,0,0,0,0,-9.68,0,0,1,1,1,0.55,0,0,1,4.72
420.5,27,0,0.73,7,9,5,106.13,195.74,0.78,-3.42,-1.28,-0.13,-2.44,-1.3,0.17,621,1.48,2,-0.11,324,0.771,4,-0.4,166,0.395,3,0,0,0,0,0,0,0,0,-11.29,0,1,1,1,2,0.55,0,0,1,5.44
188.18,13,0,0.71,4,5,4,46.24,112.65,0.05,-4.36,-2.34,-3.28,-0.86,-2.16,2,19000,101,2,2.61,76200,405,2,0.06,217,1.15,3,0,0,0,0,0,0,0,0,-10.54,0,1,0,0,2,0.55,0,0,1,2.3
367.81,24,6,0.27,5,5,3,92.04,138.03,1.39,-1.79,-0.08,0.67,0.28,0.09,-0.85,52.2,0.142,4,-0.59,94,0.256,4,-2.53,1.09,0.00295,3,1,0,0,0,0,0,0,0,-9.81,0,0,0,1,0,0.55,0,0,1,4.42
453.87,30,11,0.37,5,7,2,110.7,138.04,2.33,2.61,2.73,2.44,2.67,2.56,-4.24,0.0261,5.76E-05,2,-5.16,0.00315,6.94E-06,2,-5.07,0.00384,8.45E-06,2,0,0,1,0,1,0,0,1,-7.22,0,0,0,1,0,0.56,0,0,1,4.64
361.42,25,6,0.41,6,5,2,98.35,124.37,1.39,3.01,0.35,0.91,1.43,1.42,-3.76,0.063,0.000174,3,-5.29,0.00187,5.17E-06,2,-3.01,0.352,0.000975,3,1,0,0,0,0,0,0,0,-6.37,0,0,0,0,0,0.56,0,1,1,4.31
645.67,44,11,0.4,12,11,4,164.19,270.86,0.88,-0.74,-2.58,-0.26,-2.18,-0.98,-2.77,1.1,0.0017,3,-4.47,0.0218,3.38E-05,2,-2.43,2.42,0.00375,3,0,0,1,0,0,0,0,0,-10.76,2,4,2,1,3,0.11,0,1,2,5.59
542.57,35,11,0.33,10,11,4,124.92,263.89,0.13,-0.58,-0.69,0.21,-2.42,-0.67,-2.41,2.11,0.00388,3,-4.49,0.0175,3.23E-05,2,-1.58,14.3,0.0264,3,0,0,1,0,0,0,0,0,-10.02,2,2,1,1,2,0.11,0,1,2,5.19
383.46,26,0,0.71,6,6,3,104.37,135.48,1.82,-2.36,-1.07,0.37,-0.62,-0.37,-0.33,177,0.463,4,0.05,433,1.13,2,-0.47,129,0.337,3,0,0,0,0,0,0,0,0,-10.31,0,1,0,1,1,0.55,0,0,1,5.4
365.4,25,6,0.44,5,6,4,94.59,158.26,0.95,-1.99,-0.68,0.23,-0.45,-0.39,-0.7,73,0.2,4,-0.81,56.6,0.155,4,-1.62,8.67,0.0237,3,0,0,0,0,0,0,0,0,-9.94,0,1,1,1,1,0.55,0,0,1,4.17
