,Explained Variance
PC1,0.29975192797497224
PC2,0.20143303539922164
PC3,0.09203537392439749
PC4,0.06295456713767801
PC5,0.051854429195965106
PC6,0.03433731842123866
PC7,0.033549363741083575
PC8,0.028052242228821193
PC9,0.02661356221751293
PC10,0.023588599355461416
PC11,0.022045636880476577
PC12,0.015302095763600783
PC13,0.013697556920980932
PC14,0.013180691550614191
PC15,0.011473598984908566
PC16,0.009342947969269542
PC17,0.007644453895799044
PC18,0.007268628827648051
