,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
CYP1A2 inhibitor,0.7676101585020869,0.2848576705888777,0.23545852438979814,10.155399323962232,2.205872734061245,0.6788411848663239,3.1806161541785656,2.423822349511519,0.2638946633785807,5.928639712025655,3.4268925398401167,0.7489754069543528,6.079679538499466,0.1541992224019919,26.71766472878192,15.111449010117425,2.1983704821464047,0.03949728875018766,8.502401685669657,7.420838612227833,1.478731444398115,0.7478952372985417,0.7192384380395499
CYP2C19 inhibitor,0.5922376734580507,0.7949548320057103,0.2925085138920497,12.086342788545416,2.1609785823880827,2.674198529785815,5.190557873899393,7.147394738216415,0.007082335657462373,0.08191522446783761,1.5511348995342136,0.1913278698618338,0.7005377940536541,0.004936293475843446,1.0781012907501668,0.004031232013691076,12.022038761000946,20.506292427553337,12.774361207555918,7.002757497586602,9.994108328909471,1.817884407021791,0.06504721907960502
CYP2C9 inhibitor,0.6328305131733762,1.1835136409867342,0.2728550088573458,6.367456673978443,0.28407439939617163,5.428311219154282,6.663304288426028,5.353897947723858,0.8660974691226256,0.00022510911385344764,0.346969095131839,0.11614668250109106,14.535650776186557,0.009325472539077187,3.783887135736814,5.541562330865846,10.528298293239963,11.560553447610163,4.553905689659363,1.8273496177465451,10.77551322701992,4.740472504599405,3.3062712591614773
CYP2D6 inhibitor,0.8418486155048883,0.9233584883585949,0.282870993161141,2.65241697225221,0.2573037730474218,0.0013847877948973011,4.831921051519857,2.2271093444572716,5.045039769657803,8.370527758896284,7.204990733907299,0.08916313292515032,1.522515123348642,27.624467995479396,13.909068984767181,2.85413973064698,0.7845364420949179,5.038733140149764,8.617801471207285,1.563484108628822,0.0321862990407106,3.0593301751903943,0.19559697513889368
CYP3A4 inhibitor,0.08957859312505503,1.3284669062780134,0.12447049189419007,2.5769672364313156,0.02703120195808608,5.26421771371937,0.9745236451045622,10.834931393698021,0.4451381470497642,16.86681138526827,7.518437292388315,2.841658240198621,7.002164322418931,0.039872117824246316,0.481982568017697,2.424203035295895,30.478925774879546,2.8504822661296783,3.2858673313132107,0.5167776799741222,0.7176647553655401,0.7241508333941483,0.012357037591456623
log Kp (cm/s),6.313891021986253,1.244827124546765,0.014284730669997497,1.5395354721691399,0.6923358178273258,0.35635880066509723,2.104276179740773,0.03795652488081409,0.011436127477440522,0.0004950168771716026,0.0001528524220346629,0.37917373062988713,0.0002930502331366662,0.847834965937012,0.033800415060488004,0.25455853443098386,0.8621346061701243,0.27039280825042944,0.000992861643977694,0.665297841197826,0.3707145499749102,0.0011708768767886779,4.175226040864642
Lipinski #violations,5.314507594494225,1.3040311489747984,0.026935982390056998,0.0017128178497293404,0.15780993449665146,0.4751257529727813,0.9281864109478191,0.6372235401656919,1.456679581697769,0.0325832445705465,5.903968372103,0.021015196439961165,0.03268865710970455,7.370562135530938e-05,0.17896367195270657,5.905747402887082,0.039770064276995386,0.04832420196648253,0.8819111942334521,0.042998184967599114,2.819161409231152,1.5244025646115056,0.021857079391650533
Ghose #violations,3.534338356004374,0.4434346987820582,0.06605823618961461,1.303024320825804,0.07271149102077377,0.12344250064443944,4.051565984382519,0.19096866962641934,7.70369443632606,0.8139620774239934,0.024630091185134716,5.127239523981372,1.825480490441412,1.212446193643061,1.7620472137353196,14.720442223646682,0.34531449105927325,10.220240989951836,0.04055172014395512,0.14752135947019343,14.881278245908764,2.7787681236580952,0.019420741911724312
Veber #violations,5.78043852287362,0.5357486469833876,0.0991508035475259,0.03445741463249187,0.33125204146131504,0.02617436951962108,1.744179758651942,0.04473915961909487,1.8077390558040074,0.1575168089700031,0.2840972475102971,0.9839782695592593,0.04279900717717119,0.17016076217163162,0.7578980447087499,9.765376955113721,0.13055607822607007,3.0793476675494427,0.8294119641008899,1.395006829947217,0.14555154662207795,0.052854582273510295,1.6438446560048336
Egan #violations,4.5016341415414445,0.4138060831503493,0.21666290246257244,0.15630246322496524,0.5894607407683674,0.0017880645090779404,7.356729136555377,0.8287614559918567,1.2079227825169367,0.3059990676140757,0.06372749418875225,10.921638573869958,3.3996211733737396,0.63522137712036,0.3002418497435413,5.834629786088715,0.29164658172116203,0.4128187133844384,0.059144297989170515,0.2471622494276941,0.9550369393461502,4.710147945917227,0.0383440847797646
Muegge #violations,5.4881610785572486,0.15269116706675984,0.028167186162599087,0.0022196850209667096,0.05768453893025354,0.8688647658367253,1.3087458821701414,0.21216554441799407,3.33586482194541,0.9861690787059525,5.934133892926328,2.877497936945865,0.026539338457175703,0.49165615865046414,0.1353741583933747,3.972910407350274,0.34198271955100557,0.7603452121072806,0.01682631909307436,2.965477474481416,0.40742640584295514,2.6206757375684178,4.725089378736573
Bioavailability Score,4.869670226788184,0.37479968200021047,0.1248005321148627,0.00042192125702122577,0.3376335968215282,0.38873263231605,1.447096362335373,0.9095971828674838,0.5860667008124628,0.05363962161276157,4.198046753759698,3.6418758776406235,0.586003452177944,0.8697799635909202,0.24224827851096514,2.3335681640936428,0.03762111838479597,0.015675773332114867,3.407696956017956,1.9063987062778336,18.73347958027108,24.36429276909081,1.0964374395292695
PAINS #alerts,0.004993547691385356,0.038374824163565795,0.0005290253793844266,0.6209592767691029,0.6167818882134132,0.23485687196319296,1.3992560473990245,5.722223526053985,6.34387234175576,48.551273952596304,12.293160400791098,1.5548567469654784,9.61326370356109,6.6056234434854515,1.622366543279267,3.1490793690860914,0.4411190660837073,0.4134860464120837,0.056840576609800735,0.16809057884356113,0.006322743798714681,0.010091727973952644,0.03126438918383502
Brenk #alerts,0.6275806038429801,0.05232870221268173,0.22105760590023202,0.24979081256471064,0.013290608052711945,0.009930894102041708,12.174845928076422,1.2200557989052951,28.62078636028582,0.08766802436094823,0.5805707119058584,0.018512494724929558,23.108218346378955,0.28807147592097176,20.177604583470334,0.04590020957210132,2.498567598329212,1.5581860476318767,0.16617919092178088,2.0928187510590783,0.17897037458002338,0.343608075516942,2.240077655399974
Leadlikeness #violations,0.7070900057991565,3.494174270420911,0.013532711179735965,0.9241117555252578,0.4871277619450242,0.054662787145885586,0.8217317875601424,2.1489354649206565,7.850711332712843,0.7607055274614863,0.3797301278471231,5.906562120734947,1.6592849263563327,7.133255448062119,2.065572335674654,2.849377464163508,2.1908731355187956,4.071598364397503,10.953870710468259,18.825660617894044,0.009347441338401456,0.059709101797366285,16.46873290128962
Synthetic Accessibility,3.4565892187466503,2.2645744868403845,0.02078246763642871,0.8887394827171515,2.144423080426487,2.5567287972666075,0.6515722962398743,1.1413459591893673,3.9818972360792007,0.07793443080515093,0.1636624534647197,0.8264805644489321,0.4938080049276393,2.4820172356781987,3.0104237508192666,0.6815414888359241,0.010191910507488569,1.9021823380592982,0.0627145664144568,0.4313173534671625,0.02568403060956839,2.6513317211235004,9.206107223205729
